Date,Donations_USD,Donors
2024-12-06 00:00:00,0,0
2024-12-07 00:00:00,70,5
2024-12-08 00:00:00,20,1
2024-12-09 00:00:00,880,52
2024-12-10 00:00:00,20437,623
2024-12-11,17573,574
2024-12-12,24079,833
2024-12-13,26707,1000
2024-12-14,15787,579
2024-12-15,14369,514
2024-12-16,17010,670
2024-12-17,8927,342
2024-12-18,10572,371
2024-12-19,9336,343
2024-12-20,9114,340
2024-12-21,7975,237
2024-12-22,4227,169
2024-12-23,6190,205
2024-12-24,5227,218
2024-12-25,4441,185
2024-12-26,4551,175
2024-12-27,2672,122
2024-12-28,2179,93
2024-12-29,2379,94
2024-12-30,2028,74
2024-12-31,871,58
2025-01-01,925,51
2025-01-02,1028,49
2025-01-03,1528,34
2025-01-04,635,37
2025-01-05,1610,41
2025-01-06,860,41
2025-01-07,645,27
2025-01-08,340,29
2025-01-09,933,29
2025-01-10,482,25
2025-01-11,258,24
2025-01-12,290,19
2025-01-13,270,21
2025-01-14,440,16
2025-01-15,184,16
2025-01-16,437,20
2025-01-17,584,22
2025-01-18,330,19
2025-01-19,210,13
2025-01-20,248,14
2025-01-21,205,10
2025-01-22,155,10
2025-01-23,197,11
2025-01-24,75,7
2025-01-25,325,12
2025-01-26,122,11
2025-01-27,173,12
2025-01-28,100,9
2025-01-29,182,11
2025-01-30,371,12
2025-01-31,225,10
2025-02-01,430,14
2025-02-02,250,13
2025-02-03,59,5
2025-02-04,4959,168
2025-02-05,13707,355
2025-02-06,11355,364
2025-02-07,12452,285
2025-02-08,8530,338
2025-02-09,10743,343
2025-02-10,13674,428
2025-02-11,40169,1139
2025-02-12,21433,884
2025-02-13,11991,392
2025-02-14,21993,394
2025-02-15,41946,1019
2025-02-16,19815,452
2025-02-17,15505,498
2025-02-18,9616,336
2025-02-19,10589,353
2025-02-20,16163,570
2025-02-21,19384,669
2025-02-22,25470,685
2025-02-23,48376,484
2025-02-24,8174,310
2025-02-25,6558,250
2025-02-26,4885,187
2025-02-27,4261,149
2025-02-28,5403,177
2025-03-01,3172,107
2025-03-02,2443,105
2025-03-03,1607,83
2025-03-04,2929,127
2025-03-05,4995,209
2025-03-06,5606,221
2025-03-07,7412,196
2025-03-08,42391,228
2025-03-09,7954,327
2025-03-10,3678,129
2025-03-11,2889,97
2025-03-12,2107,85
2025-03-13,3213,111
2025-03-14,6056,140
2025-03-15,4000,150
2025-03-16,3544,109
2025-03-17,2039,95
2025-03-18,2073,72
2025-03-19,2125,75
2025-03-20,2554,77
2025-03-21,4670,141
2025-03-22,2198,92
2025-03-23,1413,69
2025-03-24,2479,65
2025-03-25,1565,72
2025-03-26,1888,74
2025-03-27,2744,66
2025-03-28,4398,99
2025-03-29,2818,66
2025-03-30,1334,45
2025-03-31,1539,54
2025-04-01,28355,774
2025-04-02,16703,394
2025-04-03,7675,191
2025-04-04,3904,124
2025-04-05,2175,102
